Start date;End date;Biomass [MWh] Original resolutions;Hydropower [MWh] Original resolutions;Wind onshore [MWh] Original resolutions;Photovoltaics [MWh] Original resolutions;Other renewable [MWh] Original resolutions;Hard coal [MWh] Original resolutions;Fossil gas [MWh] Original resolutions;Hydro pumped storage [MWh] Original resolutions;Other conventional [MWh] Original resolutions
Jul 26, 2025 6:45 PM;Jul 26, 2025 7:00 PM;35.00;1,344.25;41.00;95.00;0.00;0.00;0.00;0.00;30.50
Jul 26, 2025 7:00 PM;Jul 26, 2025 7:15 PM;35.00;1,374.25;38.00;76.00;0.00;0.00;0.00;52.75;30.50
Jul 26, 2025 7:15 PM;Jul 26, 2025 7:30 PM;35.00;1,354.50;49.00;57.00;0.00;0.00;0.00;83.00;30.50
Jul 26, 2025 7:30 PM;Jul 26, 2025 7:45 PM;35.00;1,379.25;61.00;39.00;0.00;0.00;0.00;82.50;30.50
Jul 26, 2025 7:45 PM;Jul 26, 2025 8:00 PM;35.00;1,414.00;61.00;24.00;0.00;0.00;0.00;85.00;30.50
Jul 26, 2025 8:00 PM;Jul 26, 2025 8:15 PM;35.00;1,414.00;63.00;13.00;0.00;0.00;0.00;175.50;30.50
Jul 26, 2025 8:15 PM;Jul 26, 2025 8:30 PM;35.00;1,442.00;75.00;5.00;0.00;0.00;0.00;173.50;30.50
Jul 26, 2025 8:30 PM;Jul 26, 2025 8:45 PM;35.00;1,464.75;83.00;1.00;0.00;0.00;0.00;172.25;30.50
Jul 26, 2025 8:45 PM;Jul 26, 2025 9:00 PM;35.00;1,468.50;95.00;0.00;0.00;0.00;0.00;171.75;30.50
Jul 26, 2025 9:00 PM;Jul 26, 2025 9:15 PM;35.00;1,492.00;81.00;0.00;0.00;0.00;0.00;214.75;30.50
Jul 26, 2025 9:15 PM;Jul 26, 2025 9:30 PM;35.00;1,483.00;75.00;0.00;0.00;0.00;0.00;206.75;30.50
Jul 26, 2025 9:30 PM;Jul 26, 2025 9:45 PM;35.00;1,459.00;86.00;0.00;0.00;0.00;0.00;214.50;30.50
Jul 26, 2025 9:45 PM;Jul 26, 2025 10:00 PM;35.00;1,444.00;116.00;0.00;0.00;0.00;0.00;202.50;30.50
Jul 26, 2025 10:00 PM;Jul 26, 2025 10:15 PM;35.00;1,488.50;154.00;0.00;0.00;0.00;0.00;151.25;30.50
Jul 26, 2025 10:15 PM;Jul 26, 2025 10:30 PM;35.00;1,478.25;206.00;0.00;0.00;0.00;0.00;143.00;30.50
Jul 26, 2025 10:30 PM;Jul 26, 2025 10:45 PM;35.00;1,441.25;241.00;0.00;0.00;0.00;0.00;132.25;30.50
Jul 26, 2025 10:45 PM;Jul 26, 2025 11:00 PM;35.00;1,403.25;252.00;0.00;0.00;0.00;0.00;114.00;30.50
Jul 26, 2025 11:00 PM;Jul 26, 2025 11:15 PM;35.00;1,408.50;283.00;0.00;0.00;0.00;0.00;42.75;30.50
Jul 26, 2025 11:15 PM;Jul 26, 2025 11:30 PM;35.00;1,394.00;296.00;0.00;0.00;0.00;0.00;15.00;30.50
Jul 26, 2025 11:30 PM;Jul 26, 2025 11:45 PM;35.00;1,380.25;286.00;0.00;0.00;0.00;0.00;8.50;30.50
